skey|gugun|rate_year|dong_cnt|house_cnt|tot_pop_cnt|m_pop_cnt|f_pop_cnt|pop_ratio|pop_density|instt_code|last_load_dttm
19407|부산광역시 북구|2011|13|112592|309239|154284|154955|8.62|7857|6260000|2022-07-01 05:57:03
19408|부산광역시 북구|2012|13|115306|314085|156608|157477|8.79|7980|6260000|2022-07-01 05:57:03
19409|부산광역시 북구|2013|13|115308|310880|154864|156016|8.72|7898|6260000|2022-07-01 05:57:03
19410|부산광역시 북구|2014|13|115869|308215|153314|154901|8.66|7831|6260000|2022-07-01 05:57:03
19411|부산광역시 북구|2015|13|118865|312016|155065|156951|8.8|7927|6260000|2022-07-01 05:57:03
19412|부산광역시 북구|2016|13|120707|312098|155080|157018|8.8|7929|6260000|2022-07-01 05:57:03
19413|부산광역시 북구|2017|13|120249|305045|151255|153790|8.7|7748|6260000|2022-07-01 05:57:03
19414|부산광역시 해운대구|2007|18|148828|426138|209496|216642|11.79|8283|6260000|2022-07-01 05:57:03
19415|부산광역시 해운대구|2008|18|150668|426949|209488|217461|11.87|8297|6260000|2022-07-01 05:57:03
19416|부산광역시 해운대구|2009|18|153019|427619|209595|218024|11.96|8310|6260000|2022-07-01 05:57:03
19417|부산광역시 해운대구|2010|18|157282|429477|210163|219314|11.93|8346|6260000|2022-07-01 05:57:03
19418|부산광역시 해운대구|2011|18|158114|428663|209690|218973|11.95|8330|6260000|2022-07-01 05:57:03
19419|부산광역시 해운대구|2012|18|160053|431526|210759|220767|12.08|8386|6260000|2022-07-01 05:57:03
19420|부산광역시 해운대구|2013|18|161081|429109|209230|219879|12.04|8337|6260000|2022-07-01 05:57:03
19421|부산광역시 해운대구|2014|18|162347|427460|208414|219046|12.02|8305|6260000|2022-07-01 05:57:03
19422|부산광역시 해운대구|2015|17|164386|428004|208501|219503|12|8316|6260000|2022-07-01 05:57:03
19423|부산광역시 해운대구|2016|18|165290|425036|206459|218577|12|8258|6260000|2022-07-01 05:57:03
19424|부산광역시 해운대구|2017|18|165002|417161|202206|214955|11.9|8105|6260000|2022-07-01 05:57:03
19425|부산광역시 사하구|2007|16|128199|368371|185091|183280|10.19|8998|6260000|2022-07-01 05:57:03
19426|부산광역시 사하구|2008|16|130112|369413|185525|183888|10.27|9023|6260000|2022-07-01 05:57:03
19427|부산광역시 사하구|2009|16|130410|363630|182698|180932|10.17|8882|6260000|2022-07-01 05:57:03
19428|부산광역시 사하구|2010|16|133694|362697|182407|180290|10.07|8855|6260000|2022-07-01 05:57:03
19429|부산광역시 사하구|2011|16|133869|359651|180927|178724|10.03|8621|6260000|2022-07-01 05:57:03
19430|부산광역시 사하구|2012|16|134327|356769|179325|177444|9.98|8552|6260000|2022-07-01 05:57:03
19431|부산광역시 사하구|2013|16|134841|353243|177482|175761|9.91|8467|6260000|2022-07-01 05:57:03
19432|부산광역시 사하구|2014|16|134877|347859|174737|173122|9.78|8332|6260000|2022-07-01 05:57:03
19433|부산광역시 사하구|2015|16|134692|342804|172035|170769|9.6|8211|6260000|2022-07-01 05:57:03
19434|부산광역시 사하구|2016|16|135641|339620|170374|169246|9.6|8135|6260000|2022-07-01 05:57:03
19435|부산광역시 사하구|2017|16|137679|338112|169379|168733|9.6|8071|6260000|2022-07-01 05:57:03
19436|부산광역시 금정구|2007|18|92494|260844|129161|131683|7.22|4005|6260000|2022-07-01 05:57:03
19437|부산광역시 금정구|2008|18|93127|258604|127869|130735|7.19|3969|6260000|2022-07-01 05:57:03
19438|부산광역시 금정구|2009|17|93103|254272|125748|128524|7.11|3902|6260000|2022-07-01 05:57:03
19439|부산광역시 금정구|2010|17|96916|257662|127353|130309|7.16|3954|6260000|2022-07-01 05:57:03
19440|부산광역시 금정구|2011|17|98005|257090|126931|130159|7.17|3943|6260000|2022-07-01 05:57:03
19441|부산광역시 금정구|2012|17|99610|258066|127302|130764|7.22|3959|6260000|2022-07-01 05:57:03
19442|부산광역시 금정구|2013|17|100423|256015|126226|129789|7.18|3922|6260000|2022-07-01 05:57:03
19443|부산광역시 금정구|2014|17|100616|252850|124443|128407|7.11|3874|6260000|2022-07-01 05:57:03
19444|부산광역시 금정구|2015|17|101130|249778|122564|127214|7|3827|6260000|2022-07-01 05:57:03
19445|부산광역시 금정구|2016|17|102522|248908|122060|126848|7|3814|6260000|2022-07-01 05:57:03
19446|부산광역시 금정구|2017|17|104827|248917|121987|126930|7.1|3814|6260000|2022-07-01 05:57:03
19447|부산광역시 강서구|2007|7|21605|55046|30098|24948|1.52|305|6260000|2022-07-01 05:57:03
19448|부산광역시 강서구|2008|7|22132|55858|30815|25043|1.55|312|6260000|2022-07-01 05:57:03
19449|부산광역시 강서구|2009|7|25009|63753|34527|29226|1.78|356|6260000|2022-07-01 05:57:03
19450|부산광역시 강서구|2010|7|26296|66269|35996|30273|1.84|368|6260000|2022-07-01 05:57:03
19451|부산광역시 강서구|2011|7|27325|69371|37853|31518|1.93|384|6260000|2022-07-01 05:57:03
19452|부산광역시 강서구|2012|7|27838|70356|38397|31959|1.97|387|6260000|2022-07-01 05:57:03
19453|부산광역시 강서구|2013|7|29491|74765|40752|34013|2.1|412|6260000|2022-07-01 05:57:03
19454|부산광역시 강서구|2014|7|33165|85097|46282|38815|2.39|469|6260000|2022-07-01 05:57:03
19455|부산광역시 강서구|2015|7|38727|100597|54275|46322|2.8|554|6260000|2022-07-01 05:57:03
19456|부산광역시 강서구|2016|7|44112|114749|61364|53385|3.2|632|6260000|2022-07-01 05:57:03
19457|부산광역시 강서구|2017|7|47850|123079|65532|57547|3.5|678|6260000|2022-07-01 05:57:03
19458|부산광역시 연제구|2007|13|76197|213435|105607|107828|5.9|17668|6260000|2022-07-01 05:57:03
19459|부산광역시 연제구|2008|12|77326|213698|105578|108120|5.94|17693|6260000|2022-07-01 05:57:03
19460|부산광역시 연제구|2009|12|77490|211184|104467|106717|5.91|17482|6260000|2022-07-01 05:57:03
