"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"30","노래연습장업","03_09_01_P","3250000","CDFF3242052000000011","20000915","","03","폐업","03","폐업","20020821","","","","246-6647","","600819","부산광역시 중구 창선동2가 46-5번지","부산광역시 중구 광복로 32-2  (창선동2가)","","파라다이스","20030127162711","I","2018-08-31 23:59:59.0","","384905.546417818","179673.030990912","노래연습장업","유통관련업","","","","105.22","","","","","","8","2","N","N","N","N","N","N","","","","","","","","","","","","",
"31","노래연습장업","03_09_01_P","3250000","CDFF3242052001000001","20011219","","03","폐업","03","폐업","20191128","","","","257-7005","","","부산광역시 중구 남포동3가 2-2번지","부산광역시 중구 비프광장로 33 (남포동3가)","48953","STORY노래연습장","20191128150934","U","2019-11-30 02:40:00.0","","384915.689642462","179649.862331587","노래연습장업","유통관련업","8","","","159.3","3","","근린생활시설","","","19","14","N","N","N","Y","N","N","","","","","","","","","","","","",
"32","노래연습장업","03_09_01_P","3250000","CDFF3242052001000003","20011109","","03","폐업","03","폐업","20020624","","","","242-9138,241-6508","","600805","부산광역시 중구 부평동1가 39-3번지","부산광역시 중구 광복로 16  (부평동1가)","","가원","20030128153545","I","2018-08-31 23:59:59.0","","384729.541559793","179683.935766694","노래연습장업","유통관련업","","","","93.3","","","","","","8","3","N","N","N","N","N","N","","","","","","","","","","","","",
"33","노래연습장업","03_09_01_P","3250000","CDFF3242052001000004","20010530","","03","폐업","03","폐업","20081106","","","","246-7943","","600807","부산광역시 중구 부평동2가 40-1번지","부산광역시 중구 광복로12번길 12  (부평동2가)","","향수","20081106093955","I","2018-08-31 23:59:59.0","","384685.462415675","179594.146701789","노래연습장업","유통관련업","","","","58.5","","","근린생활시설","","","4","2","N","N","N","Y","N","N","","","","","","","","","","","","",
"34","노래연습장업","03_09_01_P","3250000","CDFF3242052001000005","20010324","","03","폐업","03","폐업","20080229","","","","465-6868","","600013","부산광역시 중구 중앙동3가 14-1번지","","","앵콜","20080303111704","I","2018-08-31 23:59:59.0","","385502.380472702","180135.987781584","노래연습장업","유통관련업","","","","110.4","","","","","","6","","N","N","N","N","N","N","","","","","","","","","","","","",
"35","노래연습장업","03_09_01_P","3250000","CDFF3242052007000002","20070627","","03","폐업","03","폐업","20150112","","","","462-0012","","","부산광역시 중구 영주동 324-1번지","부산광역시 중구 망양로 389 (영주동)","600810","해피노래연습장","20150112113234","I","2018-08-31 23:59:59.0","","384962.932894654","181008.976277345","노래연습장업","유통관련업","","","","113.31","","1","","","","5","","N","N","N","","N","N","","","","","","","","","","","","",
"36","노래연습장업","03_09_01_P","3250000","CDFF3242052009000001","20090618","","03","폐업","03","폐업","20151015","","","","255-3848","","","부산광역시 중구 남포동4가 5-3번지 5층","부산광역시 중구 구덕로48번길 4 (남포동4가)","48953","SS노래연습장","20151015155437","I","2018-08-31 23:59:59.0","","385108.287636901","179612.173748455","노래연습장업","유통관련업","7","","","345.43","5","","","1.6","44","10","0","Y","Y","","","","Y","","","","","","","","","","","","일반상업지역",
"37","노래연습장업","03_09_01_P","3250000","CDFF3242052016000002","20160429","","03","폐업","03","폐업","20200615","","","","","","","부산광역시 중구 남포동2가 25-10번지","부산광역시 중구 구덕로34번길 4, 4층 (남포동2가, 뉴남포빌딩)","48954","궁 노래연습장","20200615153955","U","2020-06-17 02:40:00.0","","385243.158543667","179580.295176299","노래연습장업","유통관련업","","","","612.86","4","","근린생활시설","1.3","56","27","27","Y","Y","Y","Y","","Y","","","","","","","","","","","","",
"38","노래연습장업","03_09_01_P","3250000","CDFF3242052001000007","20011203","","03","폐업","03","폐업","20070612","","","","254-1119","","600046","부산광역시 중구 남포동6가 82-1번지","","","아쿠아","20070612155824","I","2018-08-31 23:59:59.0","","384833.378334608","179541.055900953","노래연습장업","유통관련업","","","","165.8","","1","근린생활시설","","","7","3","N","N","N","Y","N","N","","","","","","","","","","","","",
"39","노래연습장업","03_09_01_P","3250000","CDFF3242052001000008","20010328","","03","폐업","03","폐업","20120918","","","","248-6462","","","부산광역시 중구 부평동1가 28-17번지","부산광역시 중구 부평2길 28-1 (부평동1가)","600804","따봉노래연습장","20120918161438","I","2018-08-31 23:59:59.0","","384712.676847422","179843.946875616","노래연습장업","유통관련업","4","","","90.3","","1","근린생활시설","","","5","","N","N","N","","N","N","","","","","","","","","","","","",
"40","노래연습장업","03_09_01_P","3250000","CDFF3242052001000009","20011218","","03","폐업","03","폐업","20020905","","","","246-3045","","600807","부산광역시 중구 부평동2가 36-1번지","부산광역시 중구 광복로12번길 8  (부평동2가)","","롯데","20030122091653","I","2018-08-31 23:59:59.0","","384688.883530635","179631.948811904","노래연습장업","유통관련업","","","","158.7","","","","","","8","","N","N","N","N","N","N","","","","","","","","","","","","",
"41","노래연습장업","03_09_01_P","3250000","CDFF3242052001000013","20011221","","03","폐업","03","폐업","20030402","","","","248-7781","","600805","부산광역시 중구 부평동1가 37-23번지","부산광역시 중구 광복로 20-2  (부평동1가)","","앵콜","20030403143336","I","2018-08-31 23:59:59.0","","384780.267219887","179682.507869634","노래연습장업","유통관련업","4","","","66.1","2","","근린생활시설","","","9","","N","N","N","N","N","N","","","","","","","","","","","","",
