"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"824","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000010","20060511","","03","폐업","03","폐업","20070810","","","","528-9993","","607808","부산광역시 동래구 명장동 62-22번지","부산광역시 동래구 반송로 274-1  (명장동)","","월드게임랜드","20070816104025","I","2018-08-31 23:59:59.0","","391298.827513417","191472.241087969","게임제공업","유통관련업","4","기타","","121.95","4","1","근린생활시설","","","","","","","","","","","","","","","","","","","","","","주거지역",
"825","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000011","20060607","","03","폐업","03","폐업","20070723","","","","","","607828","부산광역시 동래구 안락동 430-27번지","부산광역시 동래구 충렬대로359번길 44  (안락동)","","신천지게임랜드","20071015151102","I","2018-08-31 23:59:59.0","","391109.138995172","190961.559633216","게임제공업","유통관련업","4","기타","","190.99","4","","","","","","","","","","","","","","","","","","","","전체이용가 및 청소년이용불가","","","","일반주거지역",
"826","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000012","20060612","","03","폐업","03","폐업","20071130","","","","503-4553","","607840","부산광역시 동래구 온천동 1377-17번지","부산광역시 동래구 미남로 81  (온천동)","","리치게임랜드","20071130123314","I","2018-08-31 23:59:59.0","","388394.369602648","191060.334171928","게임제공업","유통관련업","","기타","","142.27","","","근린생활시설","","","","","","","","","","","","","","","","","","","","","","일반주거지역",
"827","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000013","20060628","","03","폐업","03","폐업","20070125","","","","528-2184","","607827","부산광역시 동래구 안락동 420-8번지","부산광역시 동래구 안락로 6  (안락동)","","시티게임랜드","20070129110113","I","2018-08-31 23:59:59.0","","390968.805979824","191092.573513242","게임제공업","유통관련업","3","주택가주변","","270","2","1","유기장","","","","","","","","","","","","","","","","","","","","","","준주거지역",
"828","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000014","20060630","","03","폐업","03","폐업","20070403","","","","528-2184","","607827","부산광역시 동래구 안락동 426-47번지","부산광역시 동래구 반송로240번길 16  (안락동)","","노다지게임랜드","20070413152554","I","2018-08-31 23:59:59.0","","391139.653532802","191171.697526098","게임제공업","유통관련업","4","주택가주변","","198.08","3","1","기타","","","","","","","","","","","","","","","","","","","","","","준주거지역",
"829","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000019","20060818","","03","폐업","03","폐업","20070726","","","","","","607827","부산광역시 동래구 안락동 425-44번지","부산광역시 동래구 반송로 220-1  (안락동)","","황금게임랜드","20070730100454","I","2018-08-31 23:59:59.0","","391015.628957504","191031.903113229","게임제공업","유통관련업","","주택가주변","","125.38","","","근린생활시설","","","","","","","","","","","","","","","","","","","","","","준주거지역",
"830","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000020","20060825","","03","폐업","03","폐업","20071128","","","","","","607823","부산광역시 동래구 수안동 183-3번지","","","와따세게임랜드","20071127165312","I","2018-08-31 23:59:59.0","","389890.396537077","191147.901804866","게임제공업","유통관련업","5","유흥업소밀집지역","","340.54","4","1","기타","","","","","","","","","","","","","","","","","","","","","","일반상업지역",
"831","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000021","20060906","","03","폐업","03","폐업","20070827","","","","","","607804","부산광역시 동래구 명륜동 424번지","부산광역시 동래구 명륜로 106  (명륜동)","","비젼게임프라자","20071015151157","I","2018-08-31 23:59:59.0","","389655.360752282","191344.913457427","게임제공업","유통관련업","11","유흥업소밀집지역","","447","9","2","기타","","","","","","","","","","","","","","","","","","","","","","일반상업지역",
"832","일반게임제공업","03_05_06_P","3300000","CDFF2241012006000022","20060920","","03","폐업","03","폐업","20070827","","","","","","607815","부산광역시 동래구 사직동 92-6번지","부산광역시 동래구 사직북로 5  (사직동)","","플래티늄게임랜드","20070827110640","I","2018-08-31 23:59:59.0","","387602.495576711","190509.543699088","게임제공업","유통관련업","6","유흥업소밀집지역","","228.9","5","1","기타","","","","","","","","","","","","","","","","","","","","","","준주거지역",
"833","일반게임제공업","03_05_06_P","3300000","CDFF2241132009000001","20090810","","03","폐업","03","폐업","20091022","","","","","","","부산광역시 동래구 온천동 1248-4번지 (2층)(게임기30대)","부산광역시 동래구 아시아드대로 239-1  (온천동,(2층)(게임기30대))","","마카오종합성인게임랜드","20091022100556","I","2018-08-31 23:59:59.0","","388189.034202454","191546.670279537","일반게임제공업","유통관련업","","","","314.17","2","","판매시설","","","","","","","","","","","","","","","","","","청소년이용불가","","","","일반상업지역",
"834","일반게임제공업","03_05_06_P","3300000","CDFF2241132010000001","20101021","","03","폐업","03","폐업","20111024","","","","","","","부산광역시 동래구 온천동 210-84번지 1층","부산광역시 동래구 금강공원로 40-1  (온천동,1층)","","금강게임랜드Ⅰ","20111024172350","I","2018-08-31 23:59:59.0","","389320.940520982","193064.061704689","일반게임제공업","유통관련업","","","블루스카이스타 50대","87.38","1","","판매시설","","","","","","","","","","","","","","","","","","청소년이용불가","","","","",
"835","일반게임제공업","03_05_06_P","3300000","CDFF2241132011000001","20110425","","03","폐업","03","폐업","20111107","","","","","","","부산광역시 동래구 수안동 226-1번지 외2필지(지하1층)","부산광역시 동래구 충렬대로 227  (수안동,외2필지(지하1층))","","동방성인게임장","20111107130616","I","2018-08-31 23:59:59.0","","389758.914630921","191177.531968986","일반게임제공업","유통관련업","","","블루스카이스타 25대, 마린후레쉬 25대","160.23","","1","판매시설","","","","","","","","","","","","","","","","","","청소년이용불가","","","","일반상업지역",
"836","일반게임제공업","03_05_06_P","3300000","CDFF2241132013000006","20130531","","03","폐업","03","폐업","20150127","","","","","","","부산광역시 동래구 온천동 210-63번지 지상1층","부산광역시 동래구 금강공원로 34, 지상1층 (온천동)","607833","금강게임랜드","20150127154917","I","2018-08-31 23:59:59.0","","389378.341662685","193080.128037476","일반게임제공업","유통관련업","","","골드레일포커, 시드니 포카, 레전드 드레곤, 볼케이노 포커","270.2","1","","","","","","","","","","","","","","","","","","","","청소년이용불가","","","","",
"837","일반게임제공업","03_05_06_P","3300000","CDFF2241132013000007","20130903","","03","폐업","03","폐업","20131217","","","","","","","부산광역시 동래구 온천동 140-21번지 온천동 140-53, 지상2층","부산광역시 동래구 온천장로107번길 56, 지상2층 (온천동)","607831","킹게임랜드","20131217160147","I","2018-08-31 23:59:59.0","","389457.643070414","193269.945709381","일반게임제공업","유통관련업","","","체리 포커(제CC-NA-130626-004호)","256.12","2","","","","","","","","","","","","","","","","","","","","청소년이용불가","","","","",
