"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호","사업자등록번호",
"11","환경전문공사업","09_30_16_P","6260000","626000009200600036","20200915","","01","영업/정상","N","신규","","","","","","","607804","부산광역시 동래구 명륜1동   501번지 7호","부산광역시 동래구 명륜로 121 (명륜동)","607804","(주)대진환경개발","20210316102834","U","2021-03-18 02:40:00.0","","389563.586926279","191472.329138465","","환경전문공사업","","","2641010900","609822","1","","","","","280-2 (주)한신환경","","","","","","","","","","","","",
"12","환경전문공사업","09_30_16_P","6260000","626000009200600044","20200410","","01","영업/정상","N","신규","","","","","","","46280","부산광역시 금정구 장전동 85-2","부산광역시 금정구 수림로 106 (장전동)","46280","(주)한화환경","20210512104235","U","2021-05-14 02:40:00.0","","389350.625262777","195349.982570109","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","","",
"13","환경전문공사업","09_30_16_P","6260000","626000009200600046","20211006","","01","영업/정상","N","신규","","","","","","","618290","부산광역시 강서구 신호동   화전산단내 신호동 아이7-3블럭","부산광역시 강서구 화전산단6로66번길 20 (화전동)","618280","디에이치테크(주)","20220127203345","U","2022-01-29 02:40:00.0","","371824.192616199","179790.536663549","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","","",
"14","환경전문공사업","09_30_16_P","6260000","626000009200600041","20201022","","01","영업/정상","N","신규","","","","","","","607816","부산광역시 동래구 사직3동   129번지 14호","부산광역시 동래구 여고로 61 (사직동)","607818","(주)한서엔텍","20210512111507","U","2021-05-14 02:40:00.0","","388502.134514259","190530.121156756","","환경전문공사업","","","","","","","","","","","","","48330","4833031000","0","4814080","","0","60","9","626821","",
"15","환경전문공사업","09_30_16_P","6260000","626000009200600049","20170220","","01","영업/정상","N","신규","","","","","","","618350","부산광역시 강서구 봉림동   764번지 86호","부산광역시 강서구 둔치중앙길 9 (봉림동)","618350","원라인테크(주)","20170220112132","I","2019-03-23 02:20:03.0","","372587.059887962","186205.070415721","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","","",
"16","환경전문공사업","09_30_16_P","6260000","626000009200700001","20110711","","01","영업/정상","N","신규","","","","","","","609836","부산광역시 금정구 장전1동   109번지 1호","부산광역시 금정구 금정로185번길 15 (장전동)","609836","(주)금정이엔지","20210512103729","U","2021-05-14 02:40:00.0","","389904.297976301","195574.931987812","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","","",
"17","환경전문공사업","09_30_16_P","6260000","626000009200800001","20210322","","01","영업/정상","N","신규","","","","","","","619952","부산광역시 기장군 장안읍 반룡리  850번지 장안일반산업단지","부산광역시 기장군 장안읍 장안산단1로 11","619952","그린컨기술(주)","20210322174157","U","2021-03-24 02:40:00.0","","405397.470560958","206746.790462324","","환경전문공사업","","","","","","","","","","","","","26710","2671025300","0","3140067","","0","11","","619952","",
"18","환경전문공사업","09_30_16_P","6260000","626000009201200004","20190910","","01","영업/정상","N","신규","","","","","","","","","부산광역시 강서구 화전산단2로133번길 26 (화전동)","618280","(주)조일기업","20190910160837","U","2019-09-12 02:40:00.0","","371978.549802104","180198.642024811","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","","",
"19","환경전문공사업","09_30_16_P","6260000","626000009201400002","20220628","","01","영업/정상","N","신규","","","","","","","","","부산광역시 강서구 화전산단6로 60 (화전동)","618280","(주)화인","20220628104518","U","2022-06-30 02:40:00.0","","371678.081807672","179759.064827208","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","","",
"20","환경전문공사업","09_30_16_P","6260000","626000009201400004","20210119","","01","영업/정상","N","신규","","","","","","","","부산광역시 남구 용당동 251번지 부경대학교용당캠퍼스","부산광역시 남구 신선로 365, 부경대학교용당캠퍼스 1610호 (용당동)","","주식회사 젠폴","20210119154824","U","2021-01-21 02:40:00.0","","","","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","","",
"21","환경전문공사업","09_30_16_P","6260000","626000009201900003","20190906","","01","영업/정상","N","신규","","","","","","","46758","부산광역시 강서구 신호동 185-1","부산광역시 강서구 녹산산업북로 433 (신호동)","46758","(주)테크로스","20190915105547","U","2019-09-17 02:40:00.0","","370454","178683","","환경전문공사업","1088","","","","","","","","","","","","","","","","","","","","","",
"22","환경전문공사업","09_30_16_P","6260000","626000009202200002","20220310","","01","영업/정상","N","신규","","","","","","","","부산광역시 해운대구 우동 1470번지 에이스하이테크21","부산광역시 해운대구 센텀중앙로 48, 에이스하이테크21 1807호(우동)","","포에어","20220310093927","I","2022-03-12 00:22:36.0","","","","0","환경전문공사업","60","","","","","","","","","","","","","","","","","","","","","",
"23","환경전문공사업","09_30_16_P","6260000","626000009202200001","20220224","","01","영업/정상","N","신규","","","","","","","","부산광역시 강서구 대저2동 3153-1","부산광역시 강서구 유통단지1로 41, 108동 210호(대저2동)","","(주)원탑환경기술","20220224161922","I","2022-02-26 00:22:49.0","","","","0","환경전문공사업","60.03","","","","","","","","","","","","","","","","","","","","","",
"24","환경전문공사업","09_30_16_P","6260000","626000009202200003","20220321","","01","영업/정상","N","신규","","","","","","","46253","부산광역시 금정구 부곡동 23-14","부산광역시 금정구 무학송로 127-1(부곡동)","46253","이원환경엔지니어링","20220321151058","I","2022-03-23 00:22:45.0","","390503.43332294","195712.059421948","0","환경전문공사업","15","","","","","","","","","","","","","","","","","","","","","",
"25","환경전문공사업","09_30_16_P","6260000","626000009202000001","20210629","","01","영업/정상","N","신규","","","","","","","46071","부산광역시 기장군 기장읍 청강리 89번지 B2호","부산광역시 기장군 기장읍 차성동로20번길 16, 지하2층 B2호","46071","(주)에코코어기술","20210629171936","U","2021-07-01 02:40:00.0","","","","","환경전문공사업","270.71","","","","","","","","","","","","","","","","","","","","","",
"26","환경전문공사업","09_30_16_P","6260000","626000009202000002","20220425","","01","영업/정상","N","신규","","","","","","","46754","부산광역시 강서구 송정동 1605-3","부산광역시 강서구 녹산산업중로 285 (송정동)","46754","(주)생","20220425094450","U","2022-04-27 02:40:00.0","","368714.166047268","178773.785944731","0","환경전문공사업","528","","","","","","","","","","","","","","","","","","","","","",
"27","환경전문공사업","09_30_16_P","6260000","626000009202000003","20200709","","01","영업/정상","N","신규","","","","","","","","부산광역시 기장군 장안읍 좌천리 286-1 좌천슈퍼","부산광역시 기장군 장안읍 좌천2길 36, 좌천슈퍼","","비제이엔지니어링","20200709194215","I","2020-07-11 00:23:16.0","","","","","환경전문공사업","56.5","","","","","","","","","","","","","","","","","","","","","",
"28","환경전문공사업","09_30_16_P","6260000","626000009200600017","20211229","","01","영업/정상","N","신규","","","","","","","617802","부산광역시 사상구 감전1동   123번지 53호  201호","부산광역시 사상구 괘감로 56-13, 201호 (감전동)","617802","동일환경산업기계(주)","20211229114239","U","2021-12-31 02:40:00.0","","380412.258177665","186058.817731631","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","","",
"29","환경전문공사업","09_30_16_P","6260000","626000009202000004","20200928","","01","영업/정상","N","신규","","","","","","","47728","부산광역시 동래구 온천동 779-9","부산광역시 동래구 중앙대로1367번길 70-16, 2층 (온천동)","47728","소리텍엔지니어링(주)","20200928094306","I","2020-09-30 00:23:11.0","","388851.350596167","192166.378141987","","환경전문공사업","33","","","","","","","","","","","","","","","","","","","","","",
"30","환경전문공사업","09_30_16_P","6260000","626000009202100003","20210525","","01","영업/정상","N","신규","","","","","","","46031","부산광역시 기장군 장안읍 오리 산 151-2","부산광역시 기장군 장안읍 오리산단5로 66","46031","(주)하나이엔비","20210525124414","U","2021-05-27 02:40:00.0","","405493.650506447","210137.960125039","","환경전문공사업","363","","","","","","","","","","","","","","","","","","","","","",
"31","환경전문공사업","09_30_16_P","6260000","626000009200600052","20220406","","01","영업/정상","N","신규","","","","","","","48288","부산광역시 수영구 민락동 15-1","부산광역시 수영구 민락본동로 29-1, 티엘아트센터 (민락동)","48288","티엘엔지니어링(주)","20220406140636","U","2022-04-08 02:40:00.0","","393852.668534593","186545.543261015","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","","",
"32","환경전문공사업","09_30_16_P","6260000","626000009201400006","20220412","","01","영업/정상","N","신규","","","","","","","","","부산광역시 강서구 낙동남로533번길 100 (녹산동)","46728","아쿠아셀(주)","20220412112248","U","2022-04-14 02:40:00.0","","371443","180999","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","","",
"33","환경전문공사업","09_30_16_P","6260000","626000009201500003","20210325","","01","영업/정상","N","신규","","","","","","","","","부산광역시 북구 만덕2로17번길 1, 402호 (만덕동,다산타워)","616826","세영환경산업(주)","20210325132913","U","2021-03-27 02:40:00.0","","385468.443590649","192213.626512424","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","","",
"34","환경전문공사업","09_30_16_P","6260000","626000009201800001","20210329","","01","영업/정상","N","신규","","","","","","","","부산광역시 강서구 대저2동 3138-1","부산광역시 강서구 유통단지1로 50, 부산티플렉스 220동 103호 (대저2동)","","주식회사 월드머신","20210329152737","U","2021-03-31 02:40:00.0","","","","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","","",
"35","환경전문공사업","09_30_16_P","6260000","626000009201800004","20190717","","01","영업/정상","N","신규","","","","","","","46759","부산광역시 강서구 신호동 210번지","부산광역시 강서구 신호산단3로 92 (신호동)","46759","(주)덕원환경산업기술","20190717104240","U","2019-07-19 02:40:00.0","","371640.517844216","178077.830575787","","환경전문공사업","508","","","","","","","","","","","","","","","","","","","","","",
"36","환경전문공사업","09_30_16_P","6260000","626000009200600010","20190617","","01","영업/정상","N","신규","","","","","","","617845","부산광역시 사상구 학장동   459번지 2호","부산광역시 사상구 학장로169번길 8 (학장동)","617845","동해산업환경프랜트(주)","20190617183748","U","2019-06-19 02:40:00.0","","380890.517564866","184449.7336004","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","","",
